epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1221,1.5638,1.62747,1.84892,0.77599,0.70893,0.7787,0.51721,1.31075,1.37953,1.94543,0.0802921,0.00019907,0.00019907
2,147.373,1.39555,1.16191,1.74807,0.75755,0.67086,0.73922,0.51451,1.30188,2.01754,1.96063,0.060492,0.000398972,0.000398972
3,212.625,1.35857,1.10287,1.70594,0.78171,0.74218,0.80785,0.56489,1.20754,1.4008,1.80948,0.0406915,0.000598485,0.000598485
4,279.465,1.31994,1.02676,1.73469,0.73492,0.74059,0.77705,0.55071,1.20457,1.33071,1.86668,0.0208903,0.000797314,0.000797314
5,344.539,1.31621,1.04571,1.7166,0.75752,0.76788,0.82166,0.58873,1.13654,1.15718,1.78552,0.00108819,0.00099517,0.00099517
6,409.579,1.31141,1.03127,1.68063,0.78245,0.7432,0.81363,0.58135,1.11636,1.26624,1.75166,0.000993906,0.000993906,0.000993906
7,474.491,1.2772,0.99938,1.67755,0.7655,0.7467,0.81018,0.58126,1.11927,1.36547,1.76655,0.000991232,0.000991232,0.000991232
8,539,1.28779,0.9944,1.68307,0.76068,0.76727,0.81557,0.59159,1.15243,1.4132,1.74214,0.000988079,0.000988079,0.000988079
9,604.223,1.25161,0.96915,1.66736,0.77045,0.78316,0.83556,0.59817,1.11959,1.25156,1.81612,0.000984449,0.000984449,0.000984449
10,669.465,1.26527,0.99791,1.69341,0.76686,0.78266,0.83373,0.60991,1.10589,1.11699,1.76911,0.000980345,0.000980345,0.000980345
11,734.037,1.23219,0.94619,1.63144,0.78461,0.77618,0.8413,0.61968,1.05447,1.10834,1.78408,0.000975773,0.000975773,0.000975773
12,799.028,1.20305,0.91562,1.6141,0.7966,0.7817,0.84889,0.63757,1.04812,1.1153,1.91565,0.000970736,0.000970736,0.000970736
13,865.766,1.20517,0.92943,1.61427,0.76888,0.77771,0.83957,0.61708,1.06112,1.3696,1.6971,0.000965239,0.000965239,0.000965239
14,931.804,1.20376,0.90555,1.64452,0.79865,0.77679,0.85151,0.61733,1.07819,1.20979,1.75305,0.000959289,0.000959289,0.000959289
15,998.182,1.18399,0.87885,1.62123,0.7655,0.82438,0.85534,0.62924,1.05432,1.00829,1.73854,0.000952889,0.000952889,0.000952889
16,1062.68,1.15056,0.85546,1.60362,0.77274,0.81394,0.85193,0.63925,1.03049,1.12844,1.65604,0.000946048,0.000946048,0.000946048
17,1128.43,1.15861,0.87039,1.58054,0.7763,0.81271,0.84787,0.62922,1.06631,1.1241,1.7919,0.000938772,0.000938772,0.000938772
18,1193.93,1.15289,0.8677,1.6093,0.79655,0.81701,0.86484,0.65294,1.04641,0.99628,1.67334,0.000931067,0.000931067,0.000931067
19,1257.73,1.14533,0.85175,1.57264,0.81582,0.78876,0.85702,0.64747,1.02973,1.0341,1.65908,0.000922942,0.000922942,0.000922942
20,1320.62,1.13085,0.85464,1.54815,0.79897,0.80539,0.87252,0.66543,0.99104,0.93558,1.76988,0.000914405,0.000914405,0.000914405
21,1384.98,1.12419,0.84641,1.54066,0.80861,0.79908,0.86161,0.65854,1.01699,0.91786,1.7835,0.000905463,0.000905463,0.000905463
22,1449.44,1.13321,0.84659,1.57434,0.79969,0.81179,0.85997,0.65323,1.00672,0.97078,1.74517,0.000896127,0.000896127,0.000896127
